Year,Country,Basin,"Agriculture, forestry, and fishing, value added (current US$)",Annual freshwater withdrawals (industry),Armed forces personnel (total),Electricity production from hydroelectric sources (% of total),Energy imports net percent of energy use,Energy use per capita kg oil equivalent,Food exports,GDP,Inflation,Military expenditure (current USD),Population density people per sq km land area,Population(total),Regulatory quality,Rural population,Rural population growth (annual %),Urban population growth (annual %),Annual freshwater withdrawals (agriculture),Employment in Services (% of total employment),Employment in agriculture (% of total employment),Employment in industry (% of total employment),Food imports,GDP per capital index,Government effectiveness,Individuals using the Internet (% of population),Max temp,Mean SPEI,Mean temp,Min temp,Mortality rate infant (per 1000 live births),Political stability and absence of violence terrorism,Population in largest city,Rule of law estimate,Sum rain,Sum snow,Unemployment,voice and accountability,Conflict,is_missing__Population(total),is_missing__Population in largest city,is_missing__Rural population,is_missing__Rural population growth (annual %),is_missing__Urban population growth (annual %),is_missing__Employment in Services (% of total employment),is_missing__Employment in industry (% of total employment),is_missing__Employment in agriculture (% of total employment),is_missing__Unemployment,"is_missing__Agriculture, forestry, and fishing, value added (current US$)",is_missing__GDP,is_missing__GDP per capital index,is_missing__Energy use per capita kg oil equivalent,is_missing__Annual freshwater withdrawals (industry),is_missing__Annual freshwater withdrawals (agriculture),is_missing__Individuals using the Internet (% of population),is_missing__Armed forces personnel (total),is_missing__Military expenditure (current USD),is_missing__Food imports,is_missing__Food exports,is_missing__Inflation,is_missing__Electricity production from hydroelectric sources (% of total),is_missing__Mortality rate infant (per 1000 live births),is_missing__Population density people per sq km land area,is_missing__Energy imports net percent of energy use,is_missing__voice and accountability,is_missing__Political stability and absence of violence terrorism,is_missing__Government effectiveness,is_missing__Regulatory quality,is_missing__Rule of law estimate,is_missing__Mean SPEI,is_missing__Mean temp,is_missing__Min temp,is_missing__Sum snow,is_missing__Sum rain,is_missing__Max temp
1993,China,Amur,0.9446004909117318,0.9136002322190035,1.0029020633026724,0.07824345060166232,-0.21112578789882888,-0.09788070762593054,-0.0886267571889232,0.7691517137960693,0.5068051890527229,0.6111301558580362,0.1206759664000582,1.1155368988761363,0.307692773,1.1257014837679382,-0.4250134783386347,1.1310340590294212,-0.4939625484137313,-1.382295496,1.092601207,0.095082653,-1.389114555,1.697390762,0.533396927,-0.27951737228852735,-1.419068558,0.190295464,-1.405615386,-1.335423071,0.17287343644902511,0.952830438,0.5231379328205951,0.487766694,0.026965156311649977,0.9663816228391839,-0.670909667097775,-0.701660268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
1994,China,Amur,1.0214653683800599,0.9270116023246332,0.9912168253408586,0.07589965883999521,-0.22646537816169063,-0.0718954308837928,-0.15075144749029704,0.8671526572034743,0.8632957308001459,0.5071676605183759,0.1286391089552317,1.1167479338356656,0.09203935,1.1255716957551412,-0.45546684482351596,1.092643535137063,-0.5394124487312907,-1.263071675,0.979151662,0.141568819,-1.166439229,1.335867981,0.086728934,-0.2794642356407355,-1.403258254,1.270552601,-1.386993799,-1.328251209,0.14769264429754922,1.042998053,0.5551750976802167,-0.176501279,0.06016732932874444,0.9675904739386775,-0.6227354855746557,-0.683098462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
1995,China,Amur,1.0912423398793736,0.9397776396843823,1.101522364293115,0.10302690750551402,-0.22335933387225576,-0.026833265251711105,-0.30757488108466413,0.9648567498647225,0.6070120484767814,0.6120365884397468,0.13629166036601661,1.1179000778448442,0.476233453,1.1253797733860798,-0.4973496253100168,1.0332029310422213,-0.5812682251100894,-1.143957615,0.865741489,0.188199768,-0.786303225,1.201773291,0.478113083,-0.27926326253489375,-1.342760508,0.640064101,-1.325506921,-1.257299074,0.1173132650212068,1.033381698,0.5869662024811465,0.360114488,-0.07579077464464366,0.9085882093812027,-0.6000501909289697,-0.651160181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
1996,China,Amur,1.1238241494704984,0.9519454054336541,1.1018760998246113,0.05554925704485665,-0.221653977012197,-0.014130292029273005,-0.31117825487573225,1.018905471193498,0.09627206755226038,0.6747589861728457,0.143670800846537,1.1190004733674146,0.502251157,1.125125933249915,-0.5387565107290114,0.9824283989352383,-0.6200106880232702,-1.064505917,0.773938445,0.265721817,-0.946034774,1.053079357,0.259748828,-0.27883006597617616,-1.462559783,-0.363471262,-1.45199287,-1.401751905,0.0835573177886837,1.063694636,0.6185565256548612,0.188498934,-0.03274730474876111,0.9364085072400041,-0.5730462675207266,-0.663812062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,China,Amur,1.129846704673201,0.9635572759075454,1.0632752558874798,0.050753411140241435,-0.19680196080951426,-0.022108223607669533,-0.41439134258822347,1.051740981412167,-0.5555535003258143,0.7152281422183874,0.15087203060257925,1.1200645507616547,0.480683228,1.1248250131377446,-0.56974772199574,0.9287347275445342,-0.656031893139118,-1.038046423,0.741537475,0.296790908,-1.07103017,0.822970693,0.45028452,-0.2778046520809277,-1.391965244,-0.376471045,-1.373318498,-1.313404163,0.04618746055410915,0.781381418,0.64981809339509,0.210448935,-0.041229970403909674,0.9478873532571085,-0.5485031305504683,-0.724192561,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
1998,China,Amur,1.1355539335163152,0.9746517557170108,1.0782047941450512,0.0689588550417661,-0.20165800366146724,-0.02556854364640745,-0.4650819440791623,1.0723153147471896,-1.1823932416833358,0.7488034698414978,0.1576203079433094,1.1210529373511073,0.500804117,1.1244405306599277,-0.6247388859742941,0.8594931722661312,-0.6896556401199443,-1.018173304,0.736094618,0.265844874,-1.111698118,0.737574669,0.490570929,-0.2705651696108573,-1.357446629,0.155358603,-1.336927294,-1.257319273,0.0024796263086060825,0.670610139,0.680882735968892,0.300799347,0.0922909661378813,0.9024099237759193,-0.5462819058907666,-0.770116489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,China,Amur,1.1344365531073681,0.9852638255092195,1.0782047941450512,0.023437230177786827,-0.18805721213601687,-0.01813750000914138,-0.5270002786971016,1.0877033494189396,-1.3113762995394367,0.8206505784000488,0.16370674832826326,1.1219371803275557,0.44419845,1.123950834125809,-0.693244121783129,0.7640402597627548,-0.7211515125193505,-1.004924558,0.752285192,0.18827084,-1.215121819,0.652525475,0.523221234,-0.24230589811939487,-1.470006075,0.652831783,-1.455993536,-1.407614203,-0.04555264270871425,0.854121952,0.7117091012901051,0.232840891,-0.12114434531039327,0.9773443383368035,-0.5440623986583257,-0.742864744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
2000,China,Amur,1.1366596469980912,0.9954251534942995,1.0852687372182388,0.022357807858942595,-0.1668805802014337,-0.0007699094573188967,-0.5876538631638736,1.1145232125460665,-0.96619294122597,0.8509629474498828,0.16924365218645354,1.1227356280952563,0.422336398,1.1233643383772463,-0.7547714175536726,0.6803499745546094,-0.7507474688125582,-0.99559962,0.743444514,0.1918125,-1.203061635,0.584591727,0.552084866,-0.18754451649719428,-1.477111892,-0.751955302,-1.470323761,-1.42124257,-0.09551358697205897,0.914998347,0.7423409566365627,0.236617411,-0.08953936995855387,0.9864521003858044,-0.5418445664496073,-0.69537775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,China,Amur,1.1461140624311135,1.006996659442347,1.0774040223828734,0.09769036209034962,-0.20165629252468775,0.018260683726404003,-0.5979312392395606,1.140498000361014,-0.8984532773990024,0.9119082160922724,0.1743453408009256,1.1234664415741507,0.389790223,1.122458765801102,-0.9600897944332603,0.9641449043941501,-0.770778558244808,-0.951963004,0.746913899,0.079556022,-1.226467638,0.798383509,0.563148236,-0.14498688732309636,-1.424091218,-1.149724813,-1.423353779,-1.372762597,-0.15574892087376116,0.770051186,0.7665136407514738,0.221105555,-0.18435148713184088,0.9514614910800617,-0.4245903241459898,-0.77073883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
2002,China,Amur,1.1547529628591506,1.0181419415842554,1.0741681885674121,0.05583082132844554,-0.1851175209242995,0.05927117183676534,-0.6389518195657653,1.1606672274117342,-1.174129924794856,0.953100537726793,0.1790485687553189,1.1241361006106187,0.068957162,1.121321707279218,-1.1015734314866112,1.0596614408313711,-0.7901165126641689,-0.892392965,0.746913899,-0.060082019,-1.292695104,0.859985826,0.607138319,-0.0524917238570163,-1.381218909,-1.543780249,-1.367280999,-1.313081676,-0.2185195098973617,0.75881581,0.787468149576824,0.235127466,-0.07602489661525269,0.9504932420190159,-0.33275361271856596,-0.989687072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,China,Amur,1.1626748908490332,1.0288853867226904,1.0725303224261822,-0.032921853364284055,-0.1660753527172625,0.1528308842030788,-0.702191915559732,1.1849752138686844,-0.8261275327898818,0.9795698493500198,0.1834190996046407,1.1247548533317782,0.330371607,1.1200665606771054,-1.1646314110678075,0.9771491035335466,-0.8088046915366317,-0.846014145,0.698277365,-0.029057775,-1.244369302,1.239737116,0.569420082,0.018467723300949496,-1.364727721,-0.754392757,-1.358541699,-1.302132841,-0.28077908786448436,0.443385554,0.8083111181125745,0.176329512,0.006100696951691514,0.9098612833884399,-0.26412042692763926,-0.875158446,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,China,Amur,1.1957710392897616,1.0392494867401905,1.0729410507847956,0.009932263784698891,-0.12070758158143774,0.24471467381567472,-0.8028039998242451,1.2144267724169109,-0.40461502257857723,1.016159560659866,0.1875848440390628,1.1253414832920574,0.393176738,1.1187018140145968,-1.2190167028267962,0.9059987434527174,-0.826882362650605,-0.75996654,0.579496439,0.110515091,-1.218266403,1.489159768,0.627417094,0.06493030178527782,-1.356239906,-0.292552897,-1.344003943,-1.286922996,-0.34843457961605007,0.675154016,0.829071613844525,0.123391455,-0.11355923794727653,0.9697796666477905,-0.2820877021413814,-0.805171236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,China,Amur,1.20273930670797,1.0492550611561504,1.0729410507847956,0.004109382936047126,-0.12495049142256193,0.3118591518990223,-0.834970669907908,1.2389823588255904,-0.7159174514376528,1.0464288809467692,0.19170814335965275,1.1259191361333234,0.615858593,1.11724767027192,-1.257885889903736,0.8417899631580386,-0.8443851797698945,-0.707039742,0.466072441,0.31233461,-1.288147823,1.324530598,0.580119147,0.11428814070905287,-1.411993708,-0.434273572,-1.39257405,-1.305487009,-0.4088495131984321,0.52777427,0.8496647920809443,0.017752923,-0.04719530603036314,0.917682117444449,-0.27608249930741474,-0.85884844,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,China,Amur,1.2148478663508233,1.056396457582023,1.0602395970191143,-0.019818459846568163,-0.10461184237502857,0.3729354646018943,-0.8773511189701129,1.2633057003123203,-0.7370397817192872,1.0876351114447964,0.19562115451334552,1.1264645979664925,0.513580616,1.1157395140507125,-1.2730979475395878,0.6980024461729963,-0.8514959456754845,-0.654058394,0.34726667,0.529488648,-1.34255521,1.269320078,0.851844239,0.18962644682740915,-1.386045491,-0.372640752,-1.393259867,-1.348598164,-0.464452825228876,0.476991453,0.8701767457956687,-0.063422652,-0.05442620990507106,0.9258345682150196,-0.2941463054386892,-1.206486887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,China,Amur,1.2148478663508233,1.056396457582023,1.0602395970191143,-0.019818459846568163,-0.10461184237502857,0.3729354646018943,-0.8773511189701129,1.2633057003123203,-0.7370397817192872,1.0876351114447964,0.19562115451334552,1.1264645979664925,0.513580616,1.1157395140507125,-1.2730979475395878,0.6980024461729963,-0.8514959456754845,-0.654058394,0.34726667,0.529488648,-1.34255521,1.269320078,0.851844239,0.18962644682740915,-1.386045491,-0.372640752,-1.393259867,-1.348598164,-0.464452825228876,0.476991453,0.8701767457956687,-0.063422652,-0.05442620990507106,0.9258345682150196,-0.2941463054386892,-1.206486887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,China,Amur,1.2148478663508233,1.056396457582023,1.0602395970191143,-0.019818459846568163,-0.10461184237502857,0.3729354646018943,-0.8773511189701129,1.2633057003123203,-0.7370397817192872,1.0876351114447964,0.19562115451334552,1.1264645979664925,0.513580616,1.1157395140507125,-1.2730979475395878,0.6980024461729963,-0.8514959456754845,-0.654058394,0.34726667,0.529488648,-1.34255521,1.269320078,0.851844239,0.18962644682740915,-1.386045491,-0.372640752,-1.393259867,-1.348598164,-0.464452825228876,0.476991453,0.8701767457956687,-0.063422652,-0.05442620990507106,0.9258345682150196,-0.2941463054386892,-1.206486887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,China,Amur,1.239409312446074,1.0750190185125186,0.985759879062737,-0.03513227819762373,-0.0895356867340537,0.4219263407568235,-0.8962667655133513,1.2904064369224055,-0.273161525850213,1.124172660810397,0.1992797356053253,1.126972185572049,0.547880524,1.1141444353345418,-1.3064539112653315,0.5846491154764856,-0.8762810967061865,-0.640826066,0.250024172,0.777864318,-1.264367931,1.329505011,1.052385253,0.36927061214489443,-1.18810201,-1.343676803,-1.197721907,-1.149380042,-0.5181120364076919,0.529370257,0.8905794624065971,0.103915652,-0.17626098567823745,0.8537924098637668,-0.3103240864084008,-1.167658876,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,China,Amur,1.2612924510975194,1.067043172672419,0.985759879062737,0.038312683460756995,-0.07894402281286544,0.43715898651089996,-0.921586239181484,1.3116478463251955,-0.1406236619333901,1.1629741948685777,0.20286751747293477,1.1274677356250422,0.568399831,1.1124413441870362,-1.3496407654620397,0.5309820544330416,-0.8710392977767097,-0.587858355,0.185213645,0.839913894,-1.112941248,1.52605281,1.052048978,0.5316784139746993,-1.247238538,-1.870747476,-1.245575172,-1.179205321,-0.5626521460363906,0.539275478,0.9109015178352748,0.296931122,-0.07405877969779807,0.8271037314443761,-0.2621330265171866,-1.137188832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,China,Amur,1.2651952845987755,1.0594615025204128,0.9930077798932875,0.028006834461477736,-0.024564157934875708,0.478971654383055,-0.8697825789636292,1.3187303136613842,-1.1733678419562281,1.190408462697303,0.20634884377482365,1.1279464590278714,0.459154885,1.1106301689388234,-1.3898476460521674,0.4643671287190251,-0.8665084546806474,-0.528286264,0.104188779,0.933068562,-1.089271155,1.861524785,0.940331637,0.6429428384924964,-1.435260513,-0.434853853,-1.427312956,-1.364009462,-0.6045119573263212,0.594083312,0.9310598962464417,0.322989493,0.003828279540382233,0.952364534111045,-0.23646065827249169,-1.139529719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,China,Amur,1.2748904735311404,1.0742694774511385,0.9930077798932875,0.04773452730222932,0.0,0.5444716257072187,-0.8866051074484751,1.328890222275156,-0.49738927685777673,1.2014053951201424,0.20972792644431046,1.1284091495472601,0.427819428,1.1086956308753457,-1.4354815570777009,0.40680938030572833,-0.8861557435455377,-0.495214248,0.028614008,1.072683481,-1.133546884,1.994251152,0.938179857,0.7163117914862878,-1.472223453,0.538039173,-1.459620318,-1.405196636,-0.6435099268724438,0.321710755,0.9511386642628321,0.307662141,-0.011911837651440386,1.010367793538785,-0.2740843416133273,-1.110645572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,China,Amur,1.28606148747677,1.0717979087467229,0.9930077798932875,-0.03384516565232568,0.01881546176905064,0.5889711394235021,-0.8800277011624796,1.33887163068045,-0.18337033437156025,1.2188079571476527,0.21354952756127665,1.1289301183655662,0.512553885,1.1068254807249631,-1.376718531359477,0.3148689967298083,-0.8873570325928959,-0.422360443,-0.074049257,1.196874963,-1.128459451,2.013237982,0.925494978,0.7615451838046059,-1.388644497,-0.357319621,-1.382234415,-1.320757269,-0.6794806515106088,0.394694657,0.9686866223866023,0.338342477,-0.10431772874777058,0.9546028359221858,-0.2700933986572207,-1.050500815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,China,Amur,1.291524505786708,1.0570342434545685,0.9986474045917881,0.05758449490483927,0.049716268765341284,0.6081859035713153,-0.8925553849709397,1.3435928945561952,-0.5811289682990465,1.2323782996252295,0.21829099833615526,1.1295730678099336,0.478017121,1.10503765934753,-1.311851734831408,0.3199437136474734,-0.850380824068814,-0.395898103,-0.138817819,1.320934853,-1.018228283,1.961984677,0.820394131,0.8008633138767859,-1.483537045,-0.056119697,-1.474324416,-1.402436899,-0.7159430274263888,0.4786474,0.9849479318422297,0.18883449,0.0883189294115139,0.935126671231751,-0.26412042692763926,-1.050966415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
