Year,Country,Basin,"Agriculture, forestry, and fishing, value added (current US$)",Annual freshwater withdrawals (industry),Armed forces personnel (total),Electricity production from hydroelectric sources (% of total),Energy imports net percent of energy use,Energy use per capita kg oil equivalent,Food exports,GDP,Inflation,Military expenditure (current USD),Population density people per sq km land area,Population(total),Regulatory quality,Rural population,Rural population growth (annual %),Urban population growth (annual %),Annual freshwater withdrawals (agriculture),Employment in Services (% of total employment),Employment in agriculture (% of total employment),Employment in industry (% of total employment),Food imports,GDP per capital index,Government effectiveness,Individuals using the Internet (% of population),Max temp,Mean SPEI,Mean temp,Min temp,Mortality rate infant (per 1000 live births),Political stability and absence of violence terrorism,Population in largest city,Rule of law estimate,Sum rain,Sum snow,Unemployment,voice and accountability,Conflict,is_missing__Population(total),is_missing__Population in largest city,is_missing__Rural population,is_missing__Rural population growth (annual %),is_missing__Urban population growth (annual %),is_missing__Employment in Services (% of total employment),is_missing__Employment in industry (% of total employment),is_missing__Employment in agriculture (% of total employment),is_missing__Unemployment,"is_missing__Agriculture, forestry, and fishing, value added (current US$)",is_missing__GDP,is_missing__GDP per capital index,is_missing__Energy use per capita kg oil equivalent,is_missing__Annual freshwater withdrawals (industry),is_missing__Annual freshwater withdrawals (agriculture),is_missing__Individuals using the Internet (% of population),is_missing__Armed forces personnel (total),is_missing__Military expenditure (current USD),is_missing__Food imports,is_missing__Food exports,is_missing__Inflation,is_missing__Electricity production from hydroelectric sources (% of total),is_missing__Mortality rate infant (per 1000 live births),is_missing__Population density people per sq km land area,is_missing__Energy imports net percent of energy use,is_missing__voice and accountability,is_missing__Political stability and absence of violence terrorism,is_missing__Government effectiveness,is_missing__Regulatory quality,is_missing__Rule of law estimate,is_missing__Mean SPEI,is_missing__Mean temp,is_missing__Min temp,is_missing__Sum snow,is_missing__Sum rain,is_missing__Max temp
1993,China,Amur,1.820439868,1.835953568,3.542050091,0.071041904,-0.216805785,-0.079443623,-0.086280842,0.975739668,0.587035467,0.823879421,0.102395511,8.54408013,0.307692773,9.013836815,-0.423096326,1.142775165,-0.197318633,-1.382295496,1.092601207,0.095082653,-1.389114555,1.697390762,0.533396927,-0.738530268,-1.419068558,0.190295464,-1.405615386,-1.335423071,0.043633011,0.952830438,0.350999887,0.487766694,-0.365050049,1.195902016,-0.823920368,-0.701660268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
1994,China,Amur,2.397620518,1.89950788,3.406362234,0.06879726,-0.234003762,-0.059243251,-0.142993076,1.287806382,1.357922783,0.597835776,0.109794682,8.645035208,0.09203935,8.997435734,-0.453254753,1.103680994,-0.279981361,-1.263071675,0.979151662,0.141568819,-1.166439229,1.335867981,0.086728934,-0.738495871,-1.403258254,1.270552601,-1.386993799,-1.328251209,0.004577853,1.042998053,0.420899028,-0.176501279,-0.327351466,1.202628396,-0.779641118,-0.683098462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
1995,China,Amur,3.210764907,1.962230356,5.034616516,0.095248083,-0.230504839,-0.022731814,-0.275285881,1.732501448,0.761331445,0.826137314,0.116987392,8.743163996,0.476233453,8.973294962,-0.494701805,1.04318563,-0.361562417,-1.143957615,0.865741489,0.188199768,-0.786303225,1.201773291,0.478113083,-0.738365765,-1.342760508,0.640064101,-1.325506921,-1.257299074,-0.040986498,1.033381698,0.494411639,0.360114488,-0.474976617,0.909543078,-0.75855576,-0.651160181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
1996,China,Amur,3.76083317,2.024137414,5.041400909,0.049621353,-0.228587363,-0.012068601,-0.278169307,2.073174277,0.083846935,0.997523517,0.124000597,8.838843333,0.502251157,8.941569629,-0.535644563,0.991544299,-0.442082425,-1.064505917,0.773938445,0.265721817,-0.946034774,1.053079357,0.259748828,-0.738085269,-1.462559783,-0.363471262,-1.45199287,-1.401751905,-0.089805445,1.063694636,0.5718338,0.188498934,-0.430076069,1.039263939,-0.733253331,-0.663812062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,China,Amur,3.880413227,2.085244369,4.369746018,0.045182725,-0.200931007,-0.018785581,-0.358238356,2.330629315,-0.357792809,1.126650877,0.130919211,8.933241418,0.480683228,8.904257375,-0.566267264,0.936969168,-0.52156201,-1.038046423,0.741537475,0.296790908,-1.07103017,0.822970693,0.45028452,-0.737421021,-1.391965244,-0.376471045,-1.373318498,-1.313404163,-0.141878989,0.781381418,0.65303422,0.210448935,-0.439048404,1.097032357,-0.71005948,-0.724192561,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
1998,China,Amur,3.999993284,2.145566812,4.61398416,0.062194216,-0.206293006,-0.021677854,-0.395929748,2.517869343,-0.642245455,1.247437463,0.137470456,9.022627549,0.500804117,8.857046565,-0.620561262,0.866645838,-0.600021796,-1.018173304,0.736094618,0.265844874,-1.111698118,0.737574669,0.490570929,-0.732719753,-1.357446629,0.155358603,-1.336927294,-1.257319273,-0.200461725,0.670610139,0.738547247,0.300799347,-0.28970462,0.882556815,-0.707950902,-0.770116489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,China,Amur,3.976077273,2.205120057,4.61398416,0.020466583,-0.191326218,-0.015451014,-0.440670901,2.6739027,-0.692451992,1.559527178,0.143436265,9.1040247,0.44419845,8.797655116,-0.688123123,0.769806938,-0.677480186,-1.004924558,0.752285192,0.18827084,-1.215121819,0.652525475,0.523221234,-0.714169444,-1.470006075,0.652831783,-1.455993536,-1.407614203,-0.262299059,0.854121952,0.828481074,0.232840891,-0.520693918,1.258154365,-0.705842366,-0.742864744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
2000,China,Amur,4.023909296,2.263918041,4.736103231,0.01950924,-0.168337011,-0.000663368,-0.483227954,2.985969413,-0.552666317,1.71939435,0.148911073,9.178714123,0.422336398,8.727589677,-0.748735026,0.685006406,-0.753956853,-0.99559962,0.743444514,0.1918125,-1.203061635,0.584591727,0.552084866,-0.677275276,-1.477111892,-0.751955302,-1.470323761,-1.42124257,-0.324136392,0.914998347,0.923197563,0.236617411,-0.489000883,1.312094807,-0.703733831,-0.69537775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,China,Amur,4.239153399,2.333086458,4.600415374,0.089962058,-0.206291113,0.015934957,-0.490322121,3.350047245,-0.522994433,2.11146974,0.153996211,9.248090121,0.389790223,8.621623232,-0.950562161,0.972956549,-0.807844372,-0.951963004,0.746913899,0.079556022,-1.226467638,0.798383509,0.563148236,-0.647677401,-1.424091218,-1.149724813,-1.423353779,-1.372762597,-0.395737514,0.770051186,1.001944518,0.221105555,-0.581962833,1.115566407,-0.5898729,-0.77073883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
2002,China,Amur,4.454397502,2.402037568,4.546140232,0.049882886,-0.188112111,0.053182073,-0.518316947,3.688119518,-0.638952034,2.448994495,0.158719115,9.312529533,0.068957162,8.492239809,-1.089277542,1.070108374,-0.861562453,-0.892392965,0.746913899,-0.060082019,-1.292695104,0.859985826,0.607138319,-0.580221643,-1.381218909,-1.543780249,-1.367280999,-1.313081676,-0.467338637,0.75881581,1.07322505,0.235127466,-0.475216678,1.110519136,-0.497097327,-0.989687072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,China,Amur,4.669642083,2.470772475,4.51900266,-0.027666158,-0.167470358,0.146472838,-0.56052058,4.182225147,-0.490352864,2.70829189,0.163138281,9.372823719,0.330371607,8.353948561,-1.151013084,0.986176719,-0.915112366,-0.846014145,0.698277365,-0.029057775,-1.244369302,1.239737116,0.569420082,-0.525155794,-1.364727721,-0.754392757,-1.358541699,-1.302132841,-0.535685163,0.443385554,1.14704225,0.176329512,-0.388157468,0.915182229,-0.425407111,-0.875158446,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,China,Amur,5.817609915,2.539292145,4.525787053,0.008592101,-0.1195162,0.251103262,-0.625472448,4.96239193,-0.274832142,3.13992097,0.167377859,9.430668454,0.393176738,8.20870081,-1.20421576,0.913871065,-0.968494745,-0.75996654,0.579496439,0.110515091,-1.218266403,1.489159768,0.627417094,-0.48729799,-1.356239906,-0.292552897,-1.344003943,-1.286922996,-0.607286286,0.675154016,1.223593461,0.123391455,-0.513155156,1.214895558,-0.444383933,-0.805171236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,China,Amur,6.128518303,2.607597682,4.525787053,0.003540585,-0.123928814,0.337185538,-0.645713225,5.846580951,-0.438506246,3.582866258,0.171600893,9.488287086,0.615858593,8.059490578,-1.242216449,0.848676218,-1.02170959,-0.707039742,0.466072441,0.31233461,-1.288147823,1.324530598,0.580119147,-0.445310209,-1.411993708,-0.434273572,-1.39257405,-1.305487009,-0.669123619,0.52777427,1.302650679,0.017752923,-0.445320919,0.950429258,-0.438058326,-0.85884844,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,China,Amur,6.750334601,2.657699253,4.322255268,-0.016799362,-0.10291031,0.423690507,-0.672017911,7.068842245,-0.448653469,4.368356378,0.175633294,9.54330553,0.513580616,7.910449439,-1.257083411,0.702884654,-1.043769738,-0.654058394,0.34726667,0.529488648,-1.34255521,1.269320078,0.851844239,-0.377166162,-1.386045491,-0.372640752,-1.393259867,-1.348598164,-0.724451759,0.476991453,1.38463236,-0.063422652,-0.452883709,0.988311389,-0.457035148,-1.206486887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,China,Amur,6.750334601,2.657699253,4.322255268,-0.016799362,-0.10291031,0.423690507,-0.672017911,7.068842245,-0.448653469,4.368356378,0.175633294,9.54330553,0.513580616,7.910449439,-1.257083411,0.702884654,-1.043769738,-0.654058394,0.34726667,0.529488648,-1.34255521,1.269320078,0.851844239,-0.377166162,-1.386045491,-0.372640752,-1.393259867,-1.348598164,-0.724451759,0.476991453,1.38463236,-0.063422652,-0.452883709,0.988311389,-0.457035148,-1.206486887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,China,Amur,6.750334601,2.657699253,4.322255268,-0.016799362,-0.10291031,0.423690507,-0.672017911,7.068842245,-0.448653469,4.368356378,0.175633294,9.54330553,0.513580616,7.910449439,-1.257083411,0.702884654,-1.043769738,-0.654058394,0.34726667,0.529488648,-1.34255521,1.269320078,0.851844239,-0.377166162,-1.386045491,-0.372640752,-1.393259867,-1.348598164,-0.724451759,0.476991453,1.38463236,-0.063422652,-0.452883709,0.988311389,-0.457035148,-1.206486887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,China,Amur,8.472287425,2.793926211,3.345302698,-0.029481172,-0.08754669,0.499482867,-0.683629729,9.175292559,-0.195550737,5.336977042,0.179425484,9.595045479,0.547880524,7.758780164,-1.289672578,0.588162453,-1.122712199,-0.640826066,0.250024172,0.777864318,-1.264367931,1.329505011,1.052385253,-0.187877141,-1.18810201,-1.343676803,-1.197721907,-1.149380042,-0.776525303,0.529370257,1.469531075,0.103915652,-0.574268655,0.690259033,-0.473903434,-1.167658876,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,China,Amur,10.9356366,2.734567783,3.345302698,0.03380819,-0.076862204,0.524321267,-0.699052149,11.95788586,-0.106971531,6.851505713,0.183165089,9.646070188,0.568399831,7.603202482,-1.331846326,0.533916177,-1.105746857,-0.587858355,0.185213645,0.839913894,-1.112941248,1.52605281,1.052048978,0.039269683,-1.247238538,-1.870747476,-1.245575172,-1.179205321,-0.81883509,0.539275478,1.557574288,0.296931122,-0.473199331,0.597929556,-0.423298576,-1.137188832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,China,Amur,11.53353689,2.679557698,3.426715413,0.024535426,-0.023399611,0.595859453,-0.667349808,13.31017651,-0.638647812,8.461839086,0.186813578,9.695849822,0.459154885,7.444514209,-1.371089757,0.466646862,-1.091200222,-0.528286264,0.104188779,0.933068562,-1.089271155,1.861524785,0.940331637,0.256091652,-1.435260513,-0.434853853,-1.427312956,-1.364009462,-0.857890215,0.594083312,1.648499956,0.322989493,-0.390648339,1.120291547,-0.395887611,-1.139529719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,China,Amur,13.35115376,2.788281476,3.426715413,0.042404149,0,0.718808089,-0.677708434,15.91073245,-0.326718923,9.313962008,0.190373751,9.744424325,0.427819428,7.28222092,-1.41560696,0.408583524,-1.155073267,-0.495214248,0.028614008,1.072683481,-1.133546884,1.994251152,0.938179857,0.441939054,-1.472223453,0.538039173,-1.459620318,-1.405196636,-0.893690776,0.321710755,1.742788398,0.307662141,-0.407766824,1.46420605,-0.43594979,-1.110645572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,China,Amur,16.34065519,2.769766659,3.426715413,-0.02842493,0.017615949,0.810879989,-0.673665742,19.75955525,-0.136646371,11.03664418,0.194422695,9.799668873,0.512553885,7.131944275,-1.358277371,0.315956298,-1.159046231,-0.422360443,-0.074049257,1.196874963,-1.128459451,2.013237982,0.925494978,0.579603796,-1.388644497,-0.357319621,-1.382234415,-1.320757269,-0.926236741,0.394694657,1.828370042,0.338342477,-0.503913129,1.132077904,-0.431732719,-1.050500815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,China,Amur,18.37351616,2.662229859,3.491845584,0.051514158,0.045997766,0.853006167,-0.681357546,22.36011119,-0.371133086,12.84999383,0.199479778,9.868668033,0.478017121,6.993979245,-1.294945022,0.321064921,-1.040293156,-0.395898103,-0.138817819,1.320934853,-1.018228283,1.961984677,0.820394131,0.717268538,-1.483537045,-0.056119697,-1.474324416,-1.402436899,-0.958782706,0.4786474,1.910433307,0.18883449,-0.294425799,1.03297431,-0.425407111,-1.050966415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,China,Amur,20.23896506,2.597205449,3.491845584,0.034314733,0.057927687,0.891031295,-0.68382112,25.14270605,-0.371011143,14.572676,0.204478831,9.936875831,0.413217167,6.853830418,-1.327961949,0.263314226,-1.026725452,-0.237017811,-0.257656319,1.28994661,-1.004758766,1.973910018,0.788839005,0.837725188,-1.488209054,2.421380062,-1.452647584,-1.370486187,-0.984819445,0.472002673,1.99464072,0.220662881,-0.197759325,1.519311562,-0.42119004,-1.041972379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,China,Amur,21.41084962,2.527935484,3.491845584,0.081172657,0.061215765,0.920170419,-0.684158696,27.63923976,-0.426901085,16.20469069,0.209240422,10.00184282,0.413592435,6.709302473,-1.378115107,0.196737851,-1.024016354,-0.098046916,-0.360265412,1.258997162,-0.958044823,1.904852356,1.343247713,0.909999177,-1.334231319,0.882765073,-1.33943165,-1.291173648,-1.01085625,0.500139609,2.081405062,0.432638388,-0.532889383,0.959437721,-0.414864433,-1.021326159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,China,Amur,21.96091788,2.485234486,3.288313799,0.107317459,0.048251791,0.918178801,-0.679160877,29.19957333,-0.465626979,17.56470293,0.213659484,10.062137,0.382363879,6.560102658,-1.433148173,0.119101882,-1.034517934,0.021155522,-0.425077235,1.165789733,-0.834762548,1.613581354,1.43961653,0.992598023,-1.294947957,-0.462478454,-1.285302053,-1.220825872,-1.033638392,0.460366698,2.17068203,0.412389596,-0.471557568,1.022166456,-0.410647361,-1.082961284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,China,Amur,21.41084962,2.393376339,3.08749577,0.100997617,0.086780451,0.900104796,-0.651380176,29.71968451,-0.42063926,17.7460379,0.218040014,10.12190361,0.437350182,6.40913546,-1.469873059,0.071921919,-1.162827546,0.056264315,-0.472516854,1.219793256,-0.814925899,1.546163441,1.34560752,1.092404857,-1.42756667,-0.091172633,-1.410717628,-1.345153314,-1.053166053,0.527157555,2.262673423,0.550326213,-0.393137619,1.241954827,-0.429624183,-0.940878637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,China,Amur,21.74567378,2.321020479,3.08749577,0.062901283,0.105735236,0.948613892,-0.659307506,32.32024306,-0.453152122,18.74338021,0.222693842,10.18540093,0.621811552,6.260158256,-1.480159225,0.046673276,-1.166603975,0.081391334,-0.512405552,1.275499717,-0.842645027,1.592638923,1.438773733,1.130262868,-1.332797727,-0.62892185,-1.323750708,-1.260230212,-1.072693583,0.884957159,2.357068573,0.662636422,-0.485723569,0.932726868,-0.448601005,-0.862693842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,China,Amur,23.18063446,2.299220397,3.08749577,0.044920253,0.124986586,1.017269245,-0.669455657,36.48112997,-0.41466285,20.82873231,0.226309141,10.23472911,0.554429528,6.105366976,-1.551005491,-0.119131988,-1.225587759,0.115704271,-0.56274756,1.339706907,-0.903787225,1.679017326,1.56168126,1.298901971,-1.335788604,-0.395622481,-1.325922581,-1.253723339,-1.092221113,0.797366703,2.45432916,0.774796837,-0.301692366,0.72680375,-0.482337577,-0.800863596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
