Basin,Country,Year,GDP,Rural population growth,Urban population growth,Employment in agriculture,Unemployment,GDP per capital ,Energy use per capita,Freshwater withdrawals (agriculture),Internet,Food imports,Inflation,Electricity - hydroelectric,Population density,Energy imports,Government effectiveness,Political stability,SPEI,Mean Temperature,Precipitation,Conflict,is_missing__GDP,is_missing__Rural population growth,is_missing__Urban population growth,is_missing__Employment in agriculture,is_missing__Unemployment,is_missing__GDP per capital index,is_missing__Energy use per capita kg oil equivalent,is_missing__Annual freshwater withdrawals (agriculture),is_missing__Internet,is_missing__Food imports,is_missing__Inflation,is_missing__Electricity production from hydroelectric sources,is_missing__Population density,is_missing__Energy imports,is_missing__Government effectiveness,is_missing__Political stability,is_missing__SPEI,is_missing__Mean Temperature,is_missing__Perception
Mekong,Lao People's Democratic Republic,2012,-1.010687991,-0.032740155,0.44171329,1.471076485,-1.348049891,0.375364025,-0.9362104,1.017932339,0.389472024,-0.828306502,-0.295259356,1.705732267,-1.080141046,-0.27907732,-0.028799458,1.206991279,1.242405448,1.019712116,1.351352786,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fenney,Bangladesh,2014,0.238863274,-0.504123605,0.356873521,0.267941817,-0.303550819,-0.094386306,-1.704924952,0.141916799,0.443550543,-0.921958871,-0.109911257,-1.459119786,2.406743313,0.202402489,0.047507606,0.090613002,-1.220801135,1.293750882,1.414948254,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mekong,Myanmar,1998,-1.215107317,0.232761978,-0.468791575,1.178628506,-1.672935582,0.254441419,-1.442970337,0.400680898,-1.131588815,-0.616878385,1.245072256,0.134163055,-0.361037128,-0.165982821,-0.416541669,-0.618666129,-1.029709031,0.833868696,0.968489448,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Tigris-Euphrates/ Shatt al Arab,Iran,1996,0.07930617,-0.999257659,-0.120661561,-0.766638288,0.689789987,1.00727989,0.621970736,0.596806113,-1.120855025,-0.576058503,0.728727796,-0.623882916,-0.829889477,-1.438151096,0.242884734,0.776487224,0.902703881,0.121393038,-0.24096684,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Indus,Nepal,2022,-0.39034266,-0.211501388,0.140676287,1.118312371,0.975334165,0.990262677,-0.710873654,0.258536797,1.195277045,0.953443894,-0.07120227,1.693009415,0.640577732,0.387315178,-0.112170961,0.879111157,1.454488317,-2.056717573,-0.499121159,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Maritsa,Bulgaria,2012,-0.268490396,-1.434003222,-1.754377356,-1.612476559,1.187747877,-0.894869577,1.213384875,-2.158587464,1.177145479,-0.256980434,-0.404260005,-0.603566249,-0.366380559,0.633883378,0.881122374,1.622757964,-0.423330151,-0.389872678,0.133470544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mekong,Viet Nam,2006,-0.180179741,-0.072988842,0.532820861,0.628979539,-1.068063311,0.618518968,-0.722153881,0.927270647,0.633589983,-0.872242594,-0.084664476,0.484480709,0.864061024,-0.722829748,0.637069446,1.653134551,0.897136348,0.780780837,1.464297945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Israel,2023,0.708924149,0.668550054,0.268398194,-1.893859794,-0.53541952,-0.389618163,1.183900984,-0.195460997,1.420898271,-0.037586539,-0.299077658,0.994367395,-0.100501256,0.076535305,2.191530197,-0.593273937,0.450238326,0.837614695,-1.13378048,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Tigris-Euphrates/ Shatt al Arab,Jordan,2000,-1.094047184,0.833051524,-0.3691407,-1.723029684,1.385344743,-0.838109378,-0.043694173,-1.381897562,-0.29652881,1.029487415,-0.668102186,-1.60265895,-0.449332023,2.289532528,0.931787737,1.166712224,-1.029709031,0.431396557,-1.763219046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indus,Pakistan,2004,0.120932119,0.920276254,0.244807526,0.202811616,-1.773943516,-1.640979485,-0.933120573,0.868222193,0.110585749,-0.057797552,-0.083114521,0.373140096,0.70567212,0.235648104,0.306305566,-0.735063845,0.031575871,0.805894786,-0.617951909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fenney,Bangladesh,2001,-0.270976409,0.233215814,0.699989991,0.945725537,-0.531228124,-0.62122737,-2.182601004,-0.348858688,-1.048282437,0.895690499,-0.498055272,-0.828104653,2.254305223,0.236789427,-1.018751589,0.805927499,0.021297539,1.241451407,1.564829328,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Mekong,Cambodia,2020,-0.46449916,0.177763174,0.360193501,-0.102936652,-2.075863839,0.237416292,-0.719735178,0.830608577,1.193496398,-0.366472211,-0.405567135,0.761680284,-0.069729861,1.242643084,0.410010799,0.915307679,-0.819641141,1.620840086,1.138162324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aral Sea,China,2004,1.288192608,-1.366182337,0.816993204,0.392659317,-0.283861613,1.467687448,0.351202006,-1.416228108,0.195716136,-1.452821756,-0.329349617,-0.155536356,0.266324312,-0.097055768,0.790085459,0.697132455,1.868521208,-2.212552527,-0.998708652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mekong,Cambodia,2014,-0.667045682,0.227379945,0.367225888,0.347847029,-1.722566341,0.077272046,-1.148666874,0.830608577,0.526210865,-0.41925736,-0.326831418,1.088005987,-0.142277322,-0.551462792,0.132559077,1.194300386,1.433288806,1.576736009,1.246328113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Amur,North Korea,2022,1.42342856,-0.577723639,-1.176683977,0.407158877,-0.788253315,-0.508582432,-0.460313577,-0.457579268,0.774960493,-0.192126236,0.816560836,1.135551282,0.690602551,-0.116921425,-0.721380248,0.648923544,0.744717647,-1.662202986,0.655419689,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Indus,Pakistan,2010,0.295397274,0.91582277,0.238869723,0.218672416,-1.746193771,-1.603797697,-0.939608551,0.827517116,0.241919683,0.391834838,0.189873013,0.483561051,0.848604897,0.309171609,0.046847291,-2.048159824,0.047818464,0.79395132,-0.24150867,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Syrian,2011,-0.172517034,2.014172956,-1.748469941,-1.275877137,0.606479578,0.488856013,-0.042491291,0.112888997,0.766097338,1.133443488,-0.257837093,-0.699350783,0.173692599,-0.368832335,0.333571279,-1.2507,-1.029709031,0.126412072,-0.49327305,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Tigris-Euphrates/ Shatt al Arab,Syria,1996,-0.875727702,0.802770974,0.481962428,-0.54018129,0.340869239,0.469699945,-0.117013649,0.272482665,-1.131588815,-0.620597871,-0.037518358,-0.26308572,-0.199080428,-1.500624201,0.01430857,0.748453292,0.191560098,0.528611773,-0.566800917,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Aral Sea,Kazakhastan,1992,-0.6126305,-0.050806172,-1.588091038,-0.143466759,-1.548127292,0.256306603,1.976627078,1.466227404,-1.131588815,0.693811056,-0.251960872,-0.611341255,-2.14621237,-0.353933216,-1.515589733,-1.737473199,1.021695031,-0.605772192,-1.089086847,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0
Tigris-Euphrates/ Shatt al Arab,Syria,2005,-0.547552731,0.69426003,0.361254317,-0.841142878,0.63886588,0.469699945,0.20311317,0.112888997,0.067606987,0.935141456,-0.095089719,-0.346682495,-0.000465764,-0.562886219,-0.370060995,0.611926172,-0.848820875,0.532049604,-1.084398461,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kura-Araks,Azerbaijan,2020,-0.374451767,-0.448790441,-0.842029442,-0.151740448,0.344464822,-0.682046428,0.613982904,0.573521474,1.407923169,0.889931236,-0.422345379,-0.991648735,0.155755338,-2.410421772,0.739474344,0.142640923,-1.761976395,-0.305947286,-0.365422524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ganges Brahmaputra Meghna,China,2013,1.961128753,-1.514840551,0.234429862,-0.375491712,-0.254932515,1.9807061,1.018755965,-1.455485268,1.116876579,-1.005169982,-0.435574046,-0.1155837,0.312201931,0.149840715,0.907097315,0.51320107,-0.252083803,-1.811583487,-0.194074005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigris-Euphrates/ Shatt al Arab,Iraq,1994,-1.431807669,2.816624932,1.148726344,-1.020160885,0.536723017,3.446247643,0.725943955,-0.100917892,-1.131588815,0.968247604,4.758364939,-1.287476706,-0.685396735,-0.406711867,-1.454197009,-1.253735927,-0.018668463,0.945484744,-0.711355088,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
Aral Sea,Tajikstan,1997,-2.097711986,0.787736551,-2.117421447,1.118894789,-0.375911856,-1.157863618,-1.186213341,0.66619317,-1.131588815,1.021204626,1.742624323,1.678351958,-0.725378014,0.755586646,-1.461633605,-1.528913941,-0.180927414,-1.624335836,-0.320365364,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
jordan,West Bank,2023,-0.760831319,0.292923778,0.058912366,1.424469284,0.471362657,-0.450968012,0.303081573,1.464481542,1.41876261,1.952081002,-0.180351117,1.010891295,-1.391726401,-0.482044922,-0.437562366,-1.074241805,0.744717647,0.842451178,-0.671534744,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0
Maritsa,Bulgaria,2018,-0.180975412,-1.966015057,-2.258486328,-1.605654321,-0.10106078,-0.987020939,1.343457257,-2.160949674,1.282949592,-0.098897501,-0.41720731,-0.393637799,-0.438734438,0.634168718,1.037684681,1.700335068,1.161079182,-0.364210027,0.263404155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigris-Euphrates/ Shatt al Arab,Syria,1998,-0.832297474,0.719959879,0.394244191,-0.549049736,0.371456256,0.439278129,0.052462287,0.252140066,-1.089388344,0.157235046,-0.987428638,-0.325178119,-0.153767716,-1.273930457,-0.265130654,1.113474717,0.250759859,0.626000729,-1.045351158,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Indus,China,2021,2.222459235,-1.991187862,-0.525872126,-0.772490237,-0.268032598,1.593056205,1.282682372,-1.550249741,1.339730826,-0.39875544,-0.622464719,-0.178412307,0.344452686,0.251785868,1.814784505,0.54602929,-0.106175739,-1.961383859,-0.833171353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aral Sea,China,2015,2.023367967,-1.641202348,0.105290037,-0.529113129,-0.241913614,1.599364317,1.040655386,-1.460620071,1.162096411,-0.712076264,-0.563334324,-0.009281313,0.323232349,0.135632251,1.378834406,0.502665897,0.212389643,-2.182092725,-1.234867945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mekong,Lao People's Democratic Republic,2014,-0.89254611,-0.080308422,0.386244657,1.32073423,-1.0391696,0.051989789,-0.861983217,1.087465506,0.536985622,-1.408976405,-0.305050052,1.705305614,-1.05814565,-0.273236108,0.447560313,1.765544235,0.637262326,0.986778973,1.225925876,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Han,South Korea,1989,0.393661587,-3.394046356,0.49145105,0.962393325,-0.19199456,0.879263335,0.844753354,-0.488606844,-1.131588815,-0.834592256,-0.191685056,0.976390471,1.364890192,-0.261574392,-1.181146581,0.510988599,-0.940987698,-0.600532056,0.957359979,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0
Asi/ Orontes,Turkey,2003,0.499078356,-0.774097975,-0.35631888,-0.252508558,0.92808837,-0.844436885,0.262386328,-0.822120448,0.460372041,-1.456935835,0.511048749,0.213806859,-0.133192404,1.549181069,0.951736193,0.245428667,1.454488317,0.131236967,0.583501819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atrak,Iran,2015,0.612011582,-0.714354147,-0.371637631,-1.081921926,1.024793823,0.312930507,1.33074237,0.613257578,1.111562935,1.353103614,0.170073215,-0.895858657,-0.605073835,-0.551326509,0.630281615,0.055434252,-0.057631807,-0.131960412,-0.495473545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ili/ Kunes He,China,2020,2.141792513,-1.910185472,-0.375293054,-0.762067252,-0.152955853,1.579909279,1.20290587,-1.550249741,1.320041887,-0.380902937,-0.455346532,-0.090147573,0.343638423,0.282063964,1.631758333,0.596886672,0.066027697,-1.432363535,-0.722592912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mekong,China,2001,1.128061586,-1.061464402,0.869903392,0.546277641,-0.47520184,0.736627973,-0.020588652,-1.299526279,-0.293144794,-1.472359261,-0.66017642,-0.03368003,0.249237886,-0.199685758,-1.125730893,1.049840601,1.279498774,-1.026495273,0.667648694,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Fenney,Bangladesh,1992,-0.505866948,0.492514077,0.588933453,1.244169057,-0.994592521,-1.443064715,-2.479211623,-0.631781931,-1.131588815,0.983700518,-0.345019585,-0.564270628,2.080956713,0.076684052,-0.986489046,0.807011491,-1.029709031,1.241451407,1.255829049,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
Indus,Afghanistan,2001,-1.589823211,0.022041041,-0.943911222,1.290912764,0.482692939,0.357466471,-0.152609319,1.422398238,-1.128363103,0.735814768,-0.054865243,1.619460088,-1.003867091,-0.461990952,-1.415071178,-1.329200376,-1.841307597,-0.749918335,-0.524473063,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0
Tigris-Euphrates/ Shatt al Arab,Turkey,1996,0.258543208,-0.301389649,-0.200317053,0.233410027,0.21922062,-0.576122272,0.16689787,-0.604638508,-1.011577817,-0.755457762,1.738693643,0.717606878,-0.212174224,1.2522154,0.827824066,-0.345681346,0.352681779,-0.532313618,0.313903649,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigris-Euphrates/ Shatt al Arab,Turkey,2003,0.499078356,-0.774097975,-0.35631888,-0.252508558,0.92808837,-0.844436885,0.262386328,-0.822120448,0.460372041,-1.456935835,0.511048749,0.213806859,-0.133192404,1.549181069,0.951736193,0.245428667,1.050036352,-0.57236069,0.278722703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salween,Myanmar,2016,-0.201015653,-0.079744991,-0.713346543,0.622658463,-1.517411488,0.21365832,-1.096577209,0.21725587,0.594009783,1.036922491,-0.113697908,0.977858592,-0.229667718,-0.672614934,-0.216925294,0.195653251,0.060242393,0.90323644,1.304580118,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maritsa,Bulgaria,1991,-1.140444016,-1.545244724,-1.98261397,-1.164568315,1.014731051,-0.809858864,1.263056859,-2.131523064,-1.131588815,0.779528548,4.108849798,-0.803459086,-0.239131853,1.349553617,-1.44270285,-1.57703015,0.222169948,-0.605474217,0.065300935,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
Jordan,Israel,2023,0.708924149,0.668550054,0.268398194,-1.893859794,-0.53541952,-0.389618163,1.183900984,-0.195460997,1.420898271,-0.037586539,-0.299077658,0.994367395,-0.100501256,0.076535305,2.191530197,-0.593273937,0.450238326,0.837614695,-1.13378048,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Jordan,Jordan,2019,-0.356135709,-0.673109913,-0.280265727,-1.765307031,1.771806663,-0.951548918,-0.173878057,-1.860559093,1.320041887,1.102438271,-0.653850793,-1.741319084,0.141409933,2.313876189,0.99635558,0.833835933,0.260626484,0.484055537,-1.073471668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mekong,Thailand,2011,0.569873691,-0.884803486,-0.095393827,0.100672419,-1.741924584,-0.308112509,0.738139597,0.410556648,0.792149903,-1.212762399,-0.330638494,-0.871314603,0.246558986,0.816234614,1.023674196,-0.195262925,1.70853619,1.274222379,1.252899478,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hari / Harirud,Turkmenistan ,2020,-0.343294456,0.315608583,0.215225747,-0.769056449,-0.280950642,0.416873998,1.603774765,-1.577088394,-1.131588815,0.2890215,0.059462804,-1.769252579,-1.57225662,-2.093851141,-0.230145178,0.924227565,0.155499627,0.355371984,-0.815095754,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Jordan,Israel,2023,0.708924149,0.668550054,0.268398194,-1.893859794,-0.53541952,-0.389618163,1.183900984,-0.195460997,1.420898271,-0.037586539,-0.299077658,0.994367395,-0.100501256,0.076535305,2.191530197,-0.593273937,0.450238326,0.837614695,-1.13378048,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Mekong,China,2014,2.000520831,-1.575090199,0.174811804,-0.469643282,-0.247111511,1.907621392,1.042247469,-1.453693988,1.138540605,-0.920000298,-0.507346888,-0.04623458,0.317938262,0.154684508,1.308978343,0.538675892,-0.175204019,-0.937340879,0.390132736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ganges Brahmaputra Meghna,Myanmar,1989,-1.741516713,0.436662996,-0.254835466,0.518663488,-0.754507891,0.21679616,-1.449101641,1.202198787,-1.131588815,0.58706686,0.680290475,1.104404695,-0.463960379,-0.568591193,-1.036541639,0.829350519,0.116843591,0.278642521,1.301285497,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0
Irrawaddy,Myanmar,2017,-0.182294151,-0.106031096,-0.696538367,0.612525714,-1.368442145,0.21365832,-0.939826381,0.21725587,0.790031847,0.588947098,-0.271177482,0.939314235,-0.222935803,-0.496965885,-0.299780214,-0.135871367,1.295362697,0.915132822,1.308325458,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amur,North Korea,1999,0.6774894,-0.00417663,-1.098016618,0.87072178,-0.703375571,-0.899001399,-0.216735288,0.140578014,-1.131588815,-0.101962753,-0.313023117,0.995394687,0.584241407,-0.12951644,1.021867606,-0.24128931,0.212389643,-1.652814883,0.362592738,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0
Tigris-Euphrates/ Shatt al Arab,Iran,2020,0.419240353,-1.076398134,-0.796825821,-1.102637169,0.789484135,1.541213844,1.549106117,0.613257578,1.355488793,1.681224832,0.773343302,-0.761009096,-0.551726757,-0.45080587,-0.22325096,-0.874810043,-0.403211893,0.195391629,-0.280371245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnaphuli,Bangladesh,2020,0.573355379,-0.598414278,0.128119002,-0.049830454,-0.047057526,0.23223755,-1.478303605,0.141916799,1.000889196,0.246782614,-0.192292618,-1.478878985,2.461622948,0.561040595,0.042572908,0.066282046,-1.015266023,1.225790699,1.667310865,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tigris-Euphrates/ Shatt al Arab,Syria,2018,-0.678135088,-0.130797705,0.235597095,-1.130753787,1.358134089,0.469699945,-0.628600257,0.112888997,0.968525999,0.6152552,-0.628028147,-1.083698897,0.034517976,1.37629281,-0.987717568,-2.120866346,-2.029527205,0.734977653,-0.643408031,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Ganges Brahmaputra Meghna,India,2011,1.252319929,0.181298854,-0.091786135,0.500983085,0.418353115,1.22314989,-0.649040125,0.414154787,0.360128164,-1.724539404,-0.001782935,-0.288499535,1.32860109,0.477884553,0.937994026,-0.427429679,0.173520863,1.050474976,1.061513405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irrawaddy,Myanmar,2012,-0.225001526,-0.021285076,-0.740954952,0.692574175,-1.67817394,0.21365832,-1.348566104,0.21725587,-0.553478365,0.269551628,-0.559617279,1.276876075,-0.258471648,-0.691867981,-0.735582986,0.03281591,-0.178533141,0.916790401,1.172485052,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
jordan,West Bank,1986,0.563588703,0.431038921,0.779899318,0.021976009,0.129937931,-1.107734088,0.511943339,-0.514663118,-1.131588815,0.599229604,-0.144155738,-0.137092936,0.741644749,0.506496337,0.504245513,0.16522448,-0.852266363,0.579505218,-0.386350937,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0
Amur,North Korea,1983,1.181565462,0.303659345,-0.596309393,0.113516193,0.474956323,0.697146825,0.786794025,-0.268496932,-1.131588815,-0.242134751,0.806954613,-0.350966537,0.390679968,0.621498378,0.837474147,-0.352771414,-0.62480511,0.506756035,0.344260693,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1
Indus,Pakistan,2003,0.049150802,0.854227691,0.173423767,0.154308336,-1.760310342,-1.681167027,-0.986213227,0.867566183,0.011241132,0.144858811,-0.407970247,0.47300097,0.682491211,0.229615731,0.258077513,-0.6944211,0.244568366,0.685099074,-0.288716923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salween,China,2016,2.030712336,-1.685320386,0.063041147,-0.57264251,-0.265406028,1.528014795,1.026116718,-1.54125176,1.189013701,-0.68064936,-0.498828279,-0.018106918,0.328452355,0.192601487,1.310688856,0.563137738,-0.171976325,-1.586665269,0.419808821,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
